Location,Latitude,Longitude
麗港城1座,22.30776,114.22814
何文田邨綺文樓,22.31624,114.18258
新填地街159號,22.31052,114.16921
緬甸大廈,22.29663,114.17342
綠楊新邨R座,22.37238,114.12092
綠楊新邨R座,22.37238,114.12092
平田邨平誠樓,22.30554,114.23694
華寶大廈B座,22.29894,114.17514
家維邨家廉樓,22.30794,114.1872
文苑樓,22.30752,114.16712
機利士大廈,22.30706,114.18416
彩輝邨彩葉樓,22.33521,114.21831
樂華南邨展華樓,22.32121,114.21893
寶源大廈,22.30752,114.18433
強昇花園,22.42548,114.06978
強昇花園,22.42548,114.06978
樂華南邨展華樓,22.32121,114.21893
廟街167號,22.30698,114.16996
皇府灣,22.23367,114.22456
豐景園1座,22.38486,113.97285
文蔚樓,22.30783,114.1672
長沙灣道95-99號鑽石樓,22.32842,114.16493
金鑾大廈,22.29857,114.17239
隆基大樓A座,22.28255,114.12942
隆基大樓A座,22.28255,114.12942
祥雲大廈,22.31942,114.18838
天恒邨恒樂樓,22.47159,113.9999
樂華南邨展華樓,22.32121,114.21893
海韻軒海景酒店3座,22.42637,114.22749
薄扶林道63號1座,22.25832,114.13676
海韻軒海景酒店3座,22.42637,114.22749
白加士街66-66A號,22.30567,114.17085
白加士街66-66A號,22.30567,114.17085
海韻軒海景酒店3座,22.42637,114.22749
家維邨家義樓,22.30752,114.18691
家維邨家禮樓,22.30782,114.1866
家維邨家義樓,22.30752,114.18691
愛民邨敦民樓,22.31287,114.17733
家維邨家禮樓,22.30782,114.1866
金鑾大廈,22.29857,114.17239
海逸豪園19座,22.30725,114.19223
偉文大廈,22.28984,114.19639
星輝大廈,22.28752,114.14467
何文田邨逸文樓,22.31572,114.18271
綠楊新邨R座,22.37238,114.12092
綠楊新邨R座,22.37238,114.12092
天馬苑駿昇閣,22.34318,114.18548
黃大仙上邨啟善樓,22.34302,114.192
華美達華麗酒店,22.30297,114.1747
興華(一)邨美華樓,22.26247,114.2356
如意大樓,22.28365,114.13095
如意大樓,22.28365,114.13095
英皇駿景酒店,22.27462,114.17821
耀安邨耀和樓,22.41984,114.23073
長樂街24號,22.30672,114.17239
葵芳邨葵歡樓,22.35901,114.12838
長樂街24號,22.30672,114.17239
香港天際萬豪酒店,22.31894,113.94361
文蔚樓,22.30783,114.1672
大南街74 號,22.32514,114.16616
天恩邨恩澤樓,22.46452,113.99637
天恩邨恩澤樓,22.46452,113.99637
強昇花園,22.42548,114.06978
南山邨南明樓,22.33512,114.17236
富康花園9座,22.31088,114.26185
溫思勞街31號,22.30708,114.18267
塘頭埔村,22.42762,114.03499
友愛邨愛暉樓第三座,22.38829,113.97356
彩輝邨彩葉樓,22.33521,114.21831
彩輝邨彩葉樓,22.33521,114.21831
彩輝邨彩葉樓,22.33521,114.21831
皇府灣,22.23367,114.22456
石水渠街8號,22.27621,114.1737
富業大廈,22.30763,114.18596
富業大廈,22.30763,114.18596
海逸豪園19座,22.30725,114.19223
禮雲大樓1座,22.27749,114.18698
石水渠街8號,22.27621,114.1737
香港恒生大學B座李兆基綜合大樓,22.2822,114.13918
上海街647-651號文華閣,22.32012,114.16775
長樂街24號,22.30672,114.17239
新填地街159號,22.31052,114.16921
通菜街9號,22.31692,114.17091
嘉寶大廈,22.28559,114.15011
摩天大廈E座,22.2878,114.19814
逸東邨平逸樓,22.27999,113.93624
摩天大廈E座,22.2878,114.19814
海怡半島美浚閣21座,22.24204,114.14772
莆上村,22.50752,114.12504
香港天際萬豪酒店,22.31894,113.94361
怡心園4座,22.32279,114.25322
南山村救世軍南山長者之家,22.44068,114.0625
文英樓,22.30721,114.16703
富業大廈,22.30763,114.18596
崇愛樓,22.3114,114.18875
嘉寶大廈,22.28559,114.15011
嘉湖山莊景湖居12座,22.45839,114.00594
嘉湖山莊景湖居1座,22.46078,114.00755
悅湖山莊3座,22.37457,113.96861
怡心園4座,22.32279,114.25322
和明苑和逸閣,22.31527,114.2665
觀南樓,22.44857,114.1641
新圍村,22.47236,114.05719
金巴利街14-16號,22.30062,114.17456
廟街42-44號,22.31055,114.17049
新圍村,22.47236,114.05719
宏豐大廈,22.315,114.18888
恆安邨恆江樓,22.41701,114.22956
香港灣仔帝盛酒店,22.27454,114.17894
柯士甸大廈,22.30228,114.17516
和明苑和暢閣,22.31582,114.26775
富業大廈,22.30763,114.18596
廟街42號,22.31055,114.17049
嘉寶大廈,22.28559,114.15011
廟街42號,22.31055,114.17049
文英樓,22.30721,114.16703
富泰邨賢泰樓,22.41292,113.98467
香港天際萬豪酒店,22.31894,113.94361
馬頭圍邨玫瑰樓,22.32329,114.18703
冠暉苑鳴暉閣,22.31428,114.18247
怡心園4座,22.32279,114.25322
香港九龍貝爾特酒店,22.30727,114.17194
嘉寶大廈,22.28559,114.15011
嘉寶大廈,22.28559,114.15011
豐景園1座,22.38486,113.97285
永和樓,22.4468,114.16786
金巴利街14-16號,22.30062,114.17456
文英樓,22.30721,114.16703
華發大廈,22.31969,114.18831
金巴利街14-16號,22.30062,114.17456
富來花園B座,22.44735,114.02368
映灣園3期悅濤軒9座,22.29195,113.94954
香港黃金海岸9座,22.36845,113.99527
嘉寶樓,22.32305,114.16647
麗英大廈,22.32562,114.1683
上海街647-651號文華閣,22.32012,114.16775
新田新圍村,22.47236,114.05719
文英樓,22.30721,114.16703
文英樓,22.30721,114.16703
嘉寶樓,22.32305,114.16647
皇后大道西26號,22.28662,114.148
利安大廈,22.28703,114.13934
華發大廈,22.31969,114.18831
馬頭圍邨玫瑰樓,22.32329,114.18703
惠利大廈,22.28513,114.21202
嘉湖山莊景湖居12座,22.45839,114.00594
嘉湖山莊景湖居1座,22.46078,114.00755
嘉湖山莊景湖居12座,22.45839,114.00594
大元邨泰怡樓,22.45611,114.16858
馬屎埔西村,22.50507,114.14413
長樂大廈,22.33008,114.16277
華麗銅鑼灣酒店,22.28128,114.19215
德利閣,22.31231,114.18581
上海街647-651號文華閣,22.32012,114.16775
文惠苑,22.28711,114.14116
惠利大廈,22.28513,114.21202
富泰邨美泰樓,22.41301,113.98374
紅磡崇愛樓,22.3114,114.18875
紅磡崇愛樓,22.3114,114.18875
上海街647-651號文華閣,22.32012,114.16775
惠利大廈,22.28513,114.21202
惠利大廈,22.28513,114.21202
翠韻華庭2座,22.43994,114.01997
偉景園1座,22.42986,113.9989
安泰邨明泰樓,22.32899,114.2282
太和邨愛和樓,22.45108,114.16211
映灣園悅濤軒3期9座,22.29195,113.94954
映灣園悅濤軒3期9座,22.29195,113.94954
海怡半島美浚閣,22.24204,114.14772
映灣園悅濤軒3期9座,22.29195,113.94954
利安大廈,22.28703,114.13934
逸東邨平逸樓,22.27999,113.93624
華美達華麗酒店,22.30297,114.1747
灰沙圍屏唐花園,22.43817,114.00573
廟街42號,22.31055,114.17049
景新臺2座,22.40228,113.98065
嘉湖山莊景湖居12座,22.45839,114.00594
鴻運街3號,22.32103,114.19234
長樂大廈,22.33008,114.16277
長康邨康祥樓,22.34995,114.10116
新填地街157-159號,22.31048,114.16922
寶馬山3座,22.2877,114.20279
上海街647-651號文華閣,22.32012,114.16775
上海街647-651號文華閣,22.32012,114.16775
文惠苑,22.28711,114.14116
上海街647-651號文華閣,22.32012,114.16775
太和邨愛和樓,22.45108,114.16211
景新臺2座,22.40228,113.98065
兆康苑兆新閣,22.41022,113.97732
水邊圍邨山水樓,22.4461,114.02031
長樂大廈,22.33008,114.16277
長樂大廈,22.33008,114.16277
象山邨秀山樓,22.37897,114.13116
長樂大廈,22.33008,114.16277
世紀大廈2座,22.27308,114.15545
黃大仙下邨龍輝樓,22.34137,114.19504
黃大仙下邨龍輝樓,22.34137,114.19504
文英樓,22.30721,114.16703
恆安樓,22.31597,114.22179
長樂大廈,22.33008,114.16277
水邊圍邨山水樓,22.4461,114.02031
安泰邨明泰樓,22.32899,114.2282
利安大廈,22.28703,114.13934
安泰邨明泰樓,22.32899,114.2282
富來花園B座,22.44735,114.02368
文惠苑,22.28711,114.14116
如心南灣海景酒店,22.24975,114.16817
慈正邨正和樓,22.3511,114.20096
翠寧花園6座,22.3848,113.97437
奧斯酒店,22.31688,114.18849
牛頭角上邨常興樓,22.31808,114.21699
安泰邨明泰樓,22.32899,114.2282
惠利大廈,22.28513,114.21202
惠利大廈,22.28513,114.21202
石硤尾邨美映樓,22.33188,114.1668
石硤尾邨美映樓,22.33188,114.1668
石硤尾邨美映樓,22.33188,114.1668
石硤尾邨美映樓,22.33188,114.1668
石硤尾邨美映樓,22.33188,114.1668
映灣園悅濤軒3期9座,22.29195,113.94954
屏唐花園,22.44003,114.00828
馬屎埔西村,22.50507,114.14413
安泰邨明泰樓,22.32899,114.2282
海逸豪園1座,22.30725,114.19223
南邊圍,22.26664,113.99243
天恩邨恩慈樓,22.46362,113.99678
如心南灣海景酒店,22.24975,114.16817
如心南灣海景酒店,22.24975,114.16817
如心南灣海景酒店,22.24975,114.16817
如心南灣海景酒店,22.24975,114.16817
安泰邨服務設施大樓,22.30824,114.23647
黃大仙下邨龍輝樓,22.34137,114.19504
惠利大廈,22.28513,114.21202
兆康苑兆新閣,22.41022,113.97732
兆康苑兆新閣,22.41022,113.97732
錦豐苑錦菱閣,22.42411,114.22595
惠利大廈,22.28513,114.21202
惠利大廈,22.28513,114.21202
橫台山羅屋村,22.43865,114.0957
鴻輝大廈,22.31584,114.17143
銀禧花園6座,22.39818,114.20043
太和邨愛和樓,22.45108,114.16211
太和邨愛和樓,22.45108,114.16211
太和邨愛和樓,22.45108,114.16211
黃埔花園銀竹苑7座,22.30588,114.19112
黃埔花園銀竹苑7座,22.30588,114.19112
海濱花園海霞閣,22.3618,114.11265
崇正新村,22.43533,114.02929
華豐工業中心,22.35647,114.12496
灰沙圍,22.43817,114.00573
石籬(二)邨石怡樓,22.36523,114.13994
石籬(二)邨石怡樓,22.36523,114.13994
太和邨愛和樓,22.45108,114.16211
太和邨麗和樓,22.44991,114.16059
慶華大廈,22.33126,114.16241
牛頭角上邨常興樓,22.31808,114.21699
英美大樓,22.32371,114.1653
家維邨家廉樓,22.30794,114.1872
華麗銅鑼灣酒店,22.28128,114.19215
頤庭酒店,22.28766,114.14417
石籬(二)邨石怡樓,22.36523,114.13994
禾輋邨富和樓,22.38913,114.19605
水邊圍邨山水樓,22.4461,114.02031
顯明苑,22.31569,114.26864
富多來新邨富殿樓,22.319,114.16312
南邊圍一里,22.26664,113.99243
海濱花園海霞閣,22.3618,114.11265
銀禧花園6座,22.39818,114.20043
嘉匯大廈 添好運點心專門店 ,22.32893,114.16636
新城市商業大廈 ,22.38036,114.18837
葵興邨興樂樓地下 ,22.36582,114.13227
良景廣場 ,22.40634,113.96271
金源洋樓地下 ,22.26429,114.24024
啟德花園購物商場 ,22.33802,114.19417
百誠大廈 大家樂 ,22.45829,114.18532
安泰大廈 ,22.30645,114.18367
華業工業大廈A座 ,22.35618,114.12446
炮台街公廁 ,22.3064,114.16874
加士居道公廁 ,22.30861,114.17245
佐敦道公廁 ,22.30518,114.16934
連翔道公廁 ,22.34298,114.19414
街巿街公廁 ,22.37327,114.11167
上海街/窩打老道公廁 ,22.31832,114.17507
油麻地街巿公廁 ,22.30846,114.16936
雲疊花園地下 ,22.36857,114.17769
同珍商業中心 ,22.31532,114.1691
朗屏商場 ,22.45033,114.02326
黃埔花園翠楊苑地下 ,22.30485,114.18723
旺角中心 ,22.3173,114.16768
中九龍幹線 - 中段隧道工程 ,22.32105,114.1901
豉油街23號 四寶食堂 ,22.31692,114.17091
怡豐花園 日本料理嘉兵衛 ,22.44115,114.02485
南豐中心 ,22.37376,114.11634
現時點 好彩海鮮酒家 ,22.31357,114.17081
尚德商場 ,22.31098,114.25887
壹號名薈 美心MX ,22.31919,114.18569
香港東隅 ,22.28602,114.21619
碧街27號 勝利超級魚丸 ,22.3136,114.16817
森基商業大廈 ,22.3112,114.17125
油麻地街市 ,22.30846,114.16936
金華大廈地下 ,22.30807,114.18349
Dotcom House ,22.28369,114.15385
官涌市政大廈 ,22.30454,114.16826
寶輝閣地下 ,22.30498,114.16978
天恩商場 ,22.46254,113.99644
富東商場 ,22.28156,113.9349
耀東商場 ,22.27736,114.2242
荃豐中心 ,22.37205,114.11944
慶興大樓地下 ,22.37247,114.1171
天悅筲箕灣廣場 ,22.27772,114.22631
聯成大廈地下 永明粥店 ,22.28267,114.15599
形點Ｉ ,22.32101,114.16523
創匯國際中心 ,22.36037,114.13229
天澤商場 ,22.46844,113.99874
樂嘉中心 ,22.29091,114.20061
東發大廈Ａ座 ,22.29038,114.20019
香港浸信會醫院 ,22.33938,114.18007
西九龍中心 ,22.29757,114.17029
海洋中心 ,22.296,114.16867
元朗廣場 ,22.44492,114.02403
銀座38 HYC Bar & Lounge ,22.28344,114.12637
聖德肋撒醫院 ,22.32631,114.18481
宏天廣場 ,22.32635,114.20549
君怡酒店 ,22.3005,114.17384
海生大廈 金滿閣茶餐廳 ,22.30463,114.17136
龍翔工業大廈 ,22.33969,114.14754
傲雲峰6座 ,22.32347,114.19082
欽州街68-70號 ,22.33127,114.16081
梨木樹商場 ,22.378,114.13667
明安街25號 紅磡冰室 ,22.30673,114.18548
地利亞修女紀念學校(協和) ,22.31801,114.22676
嘉雲樓地下 ,22.29177,114.19659
首邦行 ,22.29816,114.17447
九龍城法院大樓 ,22.32522,114.18526
同興樓 ,22.28323,114.12982
光裕樓地下 ,22.27747,114.17384
仁愛大廈地下 ,22.40302,113.97813
何文田廣場 ,22.31622,114.18184
遠東大廈 ,22.2959,114.17289
海灣軒海景酒店 ,22.42637,114.22749
士美菲路市政大廈 ,22.28177,114.12868
嘉賓商業大廈 ,22.30566,114.17131
工銀大廈 ,22.28379,114.15448
如意大樓 ,22.28365,114.13095
漢口大廈 ,22.29773,114.17084
彩園廣場 譽小館 ,22.50082,114.12646
榮豐大廈地下 ,22.44245,114.03085
英龍商業大廈 麥當勞 ,22.27566,114.1609
皇后大道東200號 金滿庭京川滬菜館 ,22.27539,114.17203
差館里15B號 興華美食 ,22.30743,114.18633
和富豪庭地下 ,22.29176,114.19624
樂富廣場 點出色 ,22.33847,114.18751
華成工商中心 ,22.31065,114.22656
雅蘭中心2期 ,22.31794,114.16927
港威大廈6座 ,22.28167,114.15546
富通中心 ,22.26538,114.23697
香港科學園海濱大樓1座 ,22.42704,114.21224
馬頭角道37號地下 ,22.32177,114.18975
寶林商場 ,22.32519,114.256
重慶大廈 ,22.29638,114.1728
海景大廈Ｂ座 ,22.28747,114.19089
半島廣場 ,22.31151,114.18986
麗裕大廈地下 ,22.3145,114.22194
紅磡廣場 富華燒臘飯店 ,22.307,114.18596
黃埔天地 ,22.31844,114.16763
莊士倫敦廣場 肯德基 ,22.30345,114.17149
華美大廈A座地下 ,22.31719,114.16871
興瑋大廈 ,22.28179,114.15625
電氣道155號地下 ,22.28637,114.19122
大興樓地下 包點達人 ,22.28414,114.14996
綠意居地下 ,22.28344,114.1306
麗寶商場 ,22.38802,113.97912
俊暉華庭 ,22.30846,114.18436
半島豪庭3座 ,22.30496,114.18453
半島豪庭5座 ,22.30463,114.18518
和明苑和暢閣 ,22.31582,114.26775
安皇商業大廈 ,22.28077,114.1565
均益大廈3期 ,22.2882,114.14041
連理街 大快活 ,22.31563,114.26463
凱途發展大廈 觀自在素食 ,22.32045,114.16827
北京道一號 海港薈 ,22.296,114.16984
偉信商業大廈 ,22.27796,114.17109
荃灣廣場 牛一 ,22.37086,114.1108
V City 峰壽司 ,22.39548,113.97396
紅磡市政大廈 ,22.30736,114.18741
朗豪坊 ,22.31883,114.16849
黃大仙中心北館 ,22.34196,114.19281
華懋王子大廈地下 ,22.32097,114.17115
南方大廈 ,22.29008,114.19479
東薈城第1期 ,22.29001,113.94098
英皇駿景酒店 ,22.27462,114.17821
蕪湖街64號地下 ,22.30756,114.18578
德民大廈 ,22.30614,114.18827
聯合廣場 好彩海鮮酒家 ,22.32348,114.16882
利時商業大廈 ,22.29998,114.17524
蝴蝶廣場地下 麥當勞 ,22.37413,113.96367
新都城中心1期 ,22.32239,114.25688
恒福花園７座 ,22.38214,113.97686
安基大廈 ,22.44644,114.02404
大埔超級城D區 ,22.29892,113.92894
屯門市廣場1期 Outback Steakhouse ,22.28532,114.14281
榮盛工業大廈 ,22.33742,114.20048
聯成大廈地下 ,22.28267,114.15599
銀都商業大廈 ,22.32096,114.16876
䨇寓 美心MX ,22.37601,113.96759
厚德商場 ,22.3438,114.19996
荃灣工業中心 ,22.36496,114.11571
炮仗街93號 青葉海鮮酒家 ,22.31783,114.18824
置樂花園地下 ,22.38788,113.97985
明華工業大廈 ,22.36578,114.11671
迦南幼稚園(景峰花園) ,22.40256,113.97954
帝逸酒店 ,22.27776,114.18011
安泰商場 名舫酒家 ,22.40884,114.22194
安寧路110-136號地下 ,22.44627,114.02407
大興商場 ,22.40288,113.97072
堅巷2號 ,22.28346,114.14862
嘉寶大廈 ,22.28559,114.15011
悅湖商塲地下 ,22.37344,113.96829
保良局何壽南小學 ,22.33157,114.20428
茵怡花園 大快活 ,22.32177,114.25568
文惠苑 ,22.28711,114.14116
總統商業大廈 ,22.31644,114.17023
德民街31號 ,22.30606,114.18854
昌盛金舖大樓 ,22.3125,114.18716
聯和墟市政大廈 ,22.50214,114.13078
豐年樓 圓老爺雞煲小廚 ,22.44415,114.02454
順利商場1期 茗港酒家 ,22.33146,114.22496
元通樓 老闆火鍋冰室 ,22.44333,114.02511
福華街122號 ,22.33145,114.16273
元朗政府合署 ,22.29229,114.20839
荔枝角道27-35號地下 ,22.32888,114.16047
華海廣場 ,22.3049,114.16927
+WOO嘉湖1期 一粥麵 ,22.45109,114.00153
永得利中心 ,22.38856,114.20713
福昌樓地下 ,22.33029,114.16364
昌運中心商場 ,22.4527,114.16777
海暉大廈 菖莆亭 ,22.28881,114.21053
中環中心 ,22.28467,114.1544
新翠邨新芳樓 ,22.37101,114.18184
荃灣街市街6號地下 ,22.37193,114.11636
翠韻華庭2座 ,22.43994,114.01997
石硤尾邨美映樓 ,22.33188,114.1668
中環廣場 ,22.28011,114.17351
太和邨安和樓 ,22.45054,114.16012
香港國際機場 大家樂 ,22.30324,113.93074
香港國際機場1號客運大樓 ,22.30324,113.93074
首利大廈 ,22.31074,114.18483
筲箕灣官立中學 ,22.27162,114.23269
張寶慶大廈 ,22.27951,114.18097
侯王道39-43號地下 ,22.32878,114.18853
新威園地下 ,22.28577,114.21189
大埔墟街市 ,22.39731,113.97584
豐年路19號地下 ,22.44415,114.02454
楊屋道市政大廈 ,22.36899,114.11452
元通樓 至尊雲吞麵雞煲 ,22.44333,114.02511
喜訊大廈 寶湖海鮮酒家 ,22.28413,114.15481
信和中心 ,22.31609,114.1703
安泰商場 ,22.40884,114.22194
翠屏花園 學利 ,22.45338,114.16804
豐興樓地下 ,22.44314,114.02739
太和邨愛和樓 ,22.45108,114.16211
澤豐花園 ,22.40255,113.97534
中華基督教會屯門堂中心 ,22.39975,113.97729
萬年大廈 大快活 ,22.28195,114.1561
錦安樓地下 ,22.34716,114.20124
油麻地玉器小販市場 ,22.30846,114.16936
寶田商場 ,22.40966,113.96667
香港國際機場 ,22.30324,113.93074
樂富廣場 ,22.33847,114.18751
海港城 ,22.29513,114.16735
龍安大廈地下 ,22.33173,114.16371
新世紀廣場 ,22.28156,114.15596
寶文街1號1-2樓 ,22.27888,114.22896
裕景商業中心 ,22.27795,114.18475
興華廣場 ,22.26287,114.23548
名珠城 ,22.28099,114.18586
石硤尾邨商場 ,22.33238,114.1659
東輝大廈 麥當勞 ,22.27467,114.16006
聯安街39號 水上人生滾粥 ,22.49982,114.14316
海逸豪園16座 ,22.30725,114.19223
希慎廣場 ,22.27969,114.18385
安泰邨服務設施大樓 ,22.30824,114.23647
太和廣場 ,22.45058,114.16081
油麻地救護站 ,22.31295,114.1715
牛頭角警署 ,22.29204,114.20907
豐華工業大廈 ,22.33871,114.14872
恒發工業大廈 豐華飲食中心有限公司 ,22.33941,114.15036
北河街市政大廈 ,22.32927,114.16101
香港國際機場第三跑道地盤 ,22.30324,113.93074
福星樓 嘩鬼拉麵和風料理 ,22.33019,114.16476
嘉就工業大廈 ,22.33865,114.19832
建新里 ,22.32722,114.15736
百利達廣場 Black Coffee ,22.25806,114.19102
黃埔新天地第5及6期 ,22.37,114.11431
交通廣場 牡丹金閣 ,22.44374,114.03182
恒陞大樓 ,22.28505,114.14149
藍灣廣場 ,22.26626,114.2508
太和邨福和樓 ,22.45243,114.16088
九龍佑寧堂 ,22.3058,114.17296
禾輋廣場 和平餐廳 ,22.3882,114.19514
源禾遊樂場 (花市) ,22.38575,114.1949
K11人文購物藝術館 ,22.29354,114.17217
悅來酒店 ,22.3691,114.12067
置地廣場 ,22.28107,114.15784
華豐工業中心 ,22.35647,114.12496
華祥樓地下 ,22.37159,114.11654
觀塘遊樂場 (花市) ,22.33203,114.2128
新翠商場 亞參雞飯 ,22.36925,114.1811
迪士尼行政大樓 ,22.2651,114.24131
幸福樓2期 大寶冰室 ,22.39653,113.97724
香港迪士尼樂園酒店 翠樂庭餐廳 ,22.26554,114.1885
文禮閣 ,22.37526,114.18242
金百利 ,22.28053,114.18494
帝華閣 ,22.26766,114.18597
石籬商場 ,22.36493,114.13832
電訊一代廣場 譚仔三哥米線 ,22.31032,114.22584
嘉發商場 ,22.29473,114.23832
荔枝角道168號萬盛閣 ,22.32566,114.16463
新都會廣場 ,22.38169,114.20661
太和邨麗和樓 ,22.44991,114.16059
海安商業中心 ,22.27915,114.22653
荃灣花園高層地下 ,22.36987,114.12201
旺角街坊會陳慶社會服務中心 ,22.32152,114.16358
日昇中心 ,22.30976,114.22746
